Rank,Movie Name,Release Date,Lifetime Earnings
118,The Matrix Reloaded,2003,"$741,847,937"
119,Up,2009,"$735,099,102"
120,Ne Zha,2019,"$726,264,074"
121,F9: The Fast Saga,2021,"$726,229,501"
122,Gravity,2013,"$723,192,705"
123,Captain America: The Winter Soldier,2014,"$714,421,503"
124,The Twilight Saga: Breaking Dawn - Part 1,2011,"$712,205,856"
125,The Twilight Saga: New Moon,2009,"$711,025,481"
126,Dawn of the Planet of the Apes,2014,"$710,644,566"
127,Transformers,2007,"$709,709,780"
128,The Amazing Spider-Man 2,2014,"$708,982,323"
129,It,2017,"$701,842,551"
130,Interstellar,2014,"$701,729,206"
131,The Wandering Earth,2019,"$699,992,512"
132,The Twilight Saga: Eclipse,2010,"$698,491,347"
133,Mission: Impossible - Ghost Protocol,2011,"$694,713,380"
134,The Hunger Games,2012,"$694,394,724"
135,Detective Chinatown 3,2021,"$686,257,563"
136,Mission: Impossible - Rogue Nation,2015,"$682,716,636"
137,Forrest Gump,1994,"$678,226,133"
138,Doctor Strange,2016,"$677,796,076"
139,The Sixth Sense,1999,"$672,806,432"
140,Man of Steel,2013,"$668,045,518"
141,Ice Age 2: The Meltdown,2006,"$667,094,506"
142,Kung Fu Panda 2,2011,"$665,692,281"
143,Justice League,2017,"$657,926,987"
144,Big Hero 6,2014,"$657,869,686"
145,Fantastic Beasts: The Crimes of Grindelwald,2018,"$654,855,901"
146,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"$654,264,015"
147,Star Wars: Episode II - Attack of the Clones,2002,"$653,779,970"
148,The Hunger Games: Mockingjay - Part 2,2015,"$653,428,261"
149,Thor: The Dark World,2013,"$644,783,140"
150,Moana,2016,"$643,668,897"
151,Sing,2016,"$634,338,384"
152,Kung Fu Panda,2008,"$632,083,197"
153,The Incredibles,2004,"$631,607,053"
154,The Martian,2015,"$630,620,818"
155,Hancock,2008,"$629,443,428"
156,Water Gate Bridge,2022,"$626,571,280"
157,Fast Five,2011,"$626,137,675"
158,Men in Black 3,2012,"$624,026,776"
159,Iron Man 2,2010,"$623,933,331"
160,Ratatouille,2007,"$623,726,085"
161,Ant-Man and the Wasp,2018,"$622,674,139"
162,How to Train Your Dragon 2,2014,"$621,537,519"
163,Logan,2017,"$619,179,950"
164,The Lost World: Jurassic Park,1997,"$618,638,999"
165,Casino Royale,2006,"$616,502,912"
166,The Passion of the Christ,2004,"$612,054,506"
167,Mamma Mia!,2008,"$611,257,819"
168,Life of Pi,2012,"$609,016,565"
169,Transformers: The Last Knight,2017,"$605,425,157"
170,Madagascar: Escape 2 Africa,2008,"$603,900,354"
171,War of the Worlds,2005,"$603,873,119"
172,Tangled,2010,"$592,462,816"
173,Quantum of Solace,2008,"$589,580,482"
174,Men in Black,1997,"$589,390,539"
175,The Croods,2013,"$587,235,983"
176,The Hangover Part II,2011,"$586,764,305"
177,Iron Man,2008,"$585,796,247"
178,I Am Legend,2007,"$585,410,052"
179,Ready Player One,2018,"$582,918,849"
180,"Monsters, Inc.",2001,"$579,707,738"
181,Operation Red Sea,2018,"$579,330,426"
182,Night at the Museum,2006,"$574,481,229"
183,Fifty Shades of Grey,2015,"$569,651,467"
184,Kong: Skull Island,2017,"$566,652,812"
185,The Smurfs,2011,"$563,749,323"
186,Cars 2,2011,"$559,852,396"
187,King Kong,2005,"$556,906,378"
188,Puss in Boots,2011,"$554,987,477"
189,The Mermaid,2016,"$553,810,228"
190,Armageddon,1998,"$553,709,788"
191,The Day After Tomorrow,2004,"$552,639,571"
192,Ted,2012,"$549,368,315"
193,Top Gun: Maverick,2022,"$548,604,000"
194,American Sniper,2014,"$547,459,020"
195,Mission: Impossible II,2000,"$546,388,108"
196,Detective Chinatown 2,2018,"$544,185,156"
197,X-Men: Apocalypse,2016,"$543,934,105"
198,Sherlock Holmes: A Game of Shadows,2011,"$543,848,418"
199,Despicable Me,2010,"$543,157,985"
200,Cinderella,2015,"$542,358,331"
